Movie,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate Followers
13 Sins,2014,6.3,8,9130,4000000,45,1,0,3280543,4632,425,636,1120000
22 Jump Street,2014,7.1,1,192000000,50000000,3306,2,2,583289,3465,61,186,12350000
3 Days to Kill,2014,6.2,1,30700000,28000000,2872,1,0,304861,328,34,47,483000
300: Rise of an Empire,2014,6.3,1,106000000,110000000,3470,2,0,452917,2429,132,590,568000
A Haunted House 2,2014,4.7,8,17300000,3500000,2310,2,0,3145573,12163,610,1082,1923800
A Long Way Off,2014,4.6,3,29000,500000,,1,0,91137,112,7,1,310000
A Million Ways to Die in the West,2014,6.1,8,42600000,40000000,3158,1,0,3013011,9595,419,1020,8153000
A Most Violent Year,2014,7.1,1,5750000,20000000,818,1,2,1854103,2207,197,593,130655
A Walk Among the Tombstones,2014,6.5,10,26000000,28000000,2714,1,3,2213659,2210,419,382,125646
About Last Night,2014,6.1,8,48600000,12500000,2253,1,0,5218079,11709,532,770,21697300
American Sniper,2014,7.3,1,350000000,58800000,3555,1,4,3927600,13143,573,3134,24300
And So It Goes,2014,5.7,8,15200000,30000000,1762,1,0,519327,963,94,70,386400
Annabelle,2014,5.4,15,84300000,6500000,3185,1,0,19032902,38810,4382,4392,19420105
Annie,2014,5.2,8,85900000,65000000,3116,1,0,930006,5150,707,1484,5130800
Atlas Shrugged: Who Is John Galt?,2014,4.4,3,830000,5000000,65,3,0,595194,85,36,39,15112
Barefoot,2014,6.6,8,11800,6000000,18,1,2,3915978,6983,247,460,253000
Better Living Through Chemistry,2014,6.3,8,72300,5000000,25,1,0,1391527,2479,146,182,1658900
Beyond the Lights,2014,6.9,3,14600000,7000000,31,1,0,1828235,7633,235,685,116100
Big Hero 6,2014,7.9,12,222000000,165000000,3761,1,29,4700023,14163,538,1293,199800
Black or White,2014,6.6,3,21600000,9000000,1823,1,-1,1348142,4404,307,1033,888000
Blended,2014,6.5,8,46300000,40000000,3555,1,-2,7977747,18690,1940,2214,2417000
Boyhood,2014,8,3,25400000,4000000,771,1,9,1671367,4572,207,741,105000
Brick Mansions,2014,5.7,1,20300000,28000000,2647,1,0,2088644,6633,255,1235,3209000
